Image File,Vendor Name,Customer Name,GSTIN,Invoice Number,Date,Total Price,Extracted Text
IMG_20260516_155749.jpg,M. A. STONEX,,,,,,"GSTIN. | N: *SEYIPS1236p479 GST INVOICE Mob. : 9252215054 |} M. A. STONEX Mob. : 9887060021 Precious and Semi Precious Stone & Handicrafts etc. Near Gulzarpura Masjid, MAKRANA-341505 (Raj.)  [Jorainal for Recelpent : White SJ  |Duplicate for Suppliers/Transporter : Pink | Triplicate for Suppliers : Yellow Transport Mode : Vehicle No. : Date & Time of Supply:  Place of Supply  1  GST INVOICE  State Code : 08  State Code :.......... PAG, <p nc coce: 2s ¥  : 4 PRODUCT OF _ AMOUNT y TAXABLE CGST ~sest | TOTAL Bet = VANE | rave | Amounr] Rate | AMOUNT  > cy  re  x.)  oe $ ae a ; eee Brees ot ee  ws  W Sop — +9)  PA,  = i ies ‘2  Th bine]  Re  ae  tees’  RY; Vy  “  Ke va  rom | e087 | i Round off  (SES)  Electronic Reference No.  Total InvoiceAmount in words. :  OURBANK _ : ICICI BANK, JUSRI BRANCH A/C NO. : 671605601277 IFSC CODE _ : ICIC0006716  Amount Tax Subject Reverse Change  Certivied that the particulars glven above are true & Correct  _ Goods once sold will not be taken back.  ; Our liability ceases after goods are despatched from our g ; SUBJECT TO MAKRANA JURISDICTION  i roe 18% will be charged If the bill is not paid with In 18 days.  EO Orginal for Receipent Duplicate for Transporter  odown.  Signature of Customer  Receiver's Signature Authorised Signature | ————E—o#é—--” °°”;"
IMG_20260516_155757.jpg,SPEED PRINTER SOLUTIONS,"SHED  29-30, SAMAYSAAR BUNGLOW, NR NANDINI 3 VIP ROAD SURAT, Surat,  395007, Gujarat",24AAAHY7933G1ZY,SPS-2073,20/03/2026,2360.0,"+  Bill To:  SHED  29-30, SAMAYSAAR BUNGLOW, NR NANDINI 3 VIP ROAD SURAT, Surat,  395007, Gujarat  Mo: 9429331881 GSTIN: 24AAAHY7933G1ZY PAN: AAAHY793  1 EPSON 003 INK SET 8443 1 Pes 2,000.00 0.00  @  Total qty| 1(Pcs)  Net Payable in Words Two Thousand Three Hundred Sixty Rupees Only  Tax Rate Taxable Amount  2000.00 180.00 (9%) 180,00 (9%) .  3G  Rate Discount  Tax Amount  vale  Total 2000.00 180.00 180.00 Tax amount in words: Three Hundred Sixty Rupees Only  Bank detail Bank: BANK OF BARODA, A/C NUMBER : 21850200000655 IFS code : BARBONANPUR  SPEED PRINTER SOLUTIONS  STREET, OPP. NR. TAPTESHWAR MAHADEV TEMPLE, NANPURA, Surat, 395001, Gujarat Phone: 9825556900 / 9825131516  GSTIN: 24ARMPK8698R1ZI | PAN: ARMPK8698R  MSME NUMBER: UDYAM -GJ-22-0345376  Invoice  Number: SPS-2073 20/03/2026  Date:  Amount Taxes Total  2,000.00 | 360.00 (18%) 2,360.00  Basic Amount = 2,000.00 CGST = 180.00  SGST = 180.00  Net payable % 2,360.00  Total due = 2,360.00  Terms and Conditions  (1) Goods once sold will not be accepted return (2) In case of late payment interest 18% p.a. will be levied  (3) Subject to Surat Jurisdiction. E&0.E  Generated using https://hisab.co  Receiver's Signature  Authorised Signature"
IMG_20260516_155818.jpg,SPEED PRINTER SOLUTIONS,SHED,24ARMPK8698R1ZH,,,950.0,"9 « Pe, ee ne eo ghey ! BAY ~ , gt / iy F Sa SC a . 5 “f a Rar é & Ye ix J wf Are a’ ¥ is At heh VK ae rm « pnt Ra + , NN 86) Ih 1! Oy eee es why Arr LS, )  [wer antcan sre SPEED PRINTER SOLUTIONS  P. NR. TAPTESHWAR MAHADEV TEMPLE NANPURA, Surat, 395001 Phone: 9825556960 / 9825131516 | GSTIN: 24ARMPK8698R1ZH | PAN: ARMPK8698R  MSME NUMBER: UDYAM ~GJ-22-0345376  Bill To: SHED  Numbhar: SDS.292 29 her: S-292  “30, SAMAYSAAR BUNGLOW, NR NANDINI 3 VIP ROAD SURAT, Surat, 395007, Gujarat Date- 05 pe /2025 Mo: 9429331881  GSTIN: 24AAAHY7933G1ZY PAN: AAAHY7933G  Discount  805.08 |144.92 (18%)  Total qty} 1(Pcs)  Bat Dauahla  Net Payable in Words  | Nine Hundred Fifty Rupees Only |  Basic Amount = 805.08 |  Tax Rate Taxable Amount CGST SGST Tax Amount  CGST % 72.46 18.0% 805.08 72.46 (9%) 72.46 (9%) 144.92 os Total 805.08 72.46 72.46 144.92 SGST 72.  Tax amount in words: One Hundred Forty Four Kupees Ninety Two Paisa Oniy Net payable = 950.00 |  = 950.00  Bank detail  Bank: BANK OF BARODA, A/C NUMBER : 21850200000655 IFS code : BARBONANPUR  Total due  Terms and Conditions (1) Gesds once sold will not be accepted return  (2) In case of late payment interest 18% p.a. will be levied (3) Subject to Surat Jurisdiction. E & O.E  V—_—_—_————_____  Receiver's Signature  Authorised Signature"
IMG_20260516_155846.jpg,co OPiutTigons,SHED,24ARMPK8698R1ZH,,30/06/2025,2065.0,"co OPiutTigons | HNO.1/938/2, BLOCK NO.1 SIDI MAHOLLA, KISHOR BHAVAN,B/H JIVA BHARTI TIMALIYAVAD,NANPURA, Surat, 395001,  —  Gujarat ‘ Phone: 9825556960 / 9825131516 ; GSTIN: 24ARMPK8698R1ZH | PAN: ARMPK8698R MSME NUMBER: UDYAM -GJ-22-0345376 dl i) | Billed To: SHED Invoice 29-30, SAMAYSAAR BUNGLOW, NR NANDINI 3 VIP ROAD SURAT, Surat, Ree. SPS-569  395007, Gujarat  to: 9429337887  Date: 30/06/2025  cd  STiN:  Net Payabie in Words  a eis Ss mt L Dania Amaarinat FA TEN NN | Two Thousand Sixty Five Rupees Only WAOCIY FV N 1 ' IVY Tax Rate Taxable Amount CGST SGST Tax Amount CGST = 157.50 18.0% 1750.00 157.50 (9%) 157.50 (9%) 315.00 A Wei  Total 1750.00 157.50 157.50 315.00 (  Tax amount in words: Three Hundred Fifteen Rupees Oniy  | Net payable ¥ 2.065.00  Bank detail  Bank: BANK OF BARODA, A/C NUMBER : 21850200000655 IFS code : BARBONANPUR  Total due ~ 2,065.00  Terms and Conditions  (1) Goods once soid will not be accepted return  (2) In case of late payment interest 18% p.a. will be levied (3) Subject to Surat Jurisdiction. E& 0.E,  Receiver's Signature Authorised Signature  Generated using https://hisab.co"
IMG_20260516_160001.jpg,SHED,SHED,,,05-04-25,318247.0,"SHED  GSTIN :- 24RrAanY ** Ledger (MID:  7933G1zY 375] ** Brom Ol=Gz=cOeomucmol—O2—2026  S.T.LOKHAND SURAT WALA  Balance B/f JVAC Yogesh Shah Huf 05-04-25 104 PRCHAI1  USTVGT J BO leone 0}. 00  92704-25905)  24-04-25 20-05-25 04-06-2 16-06-25 04-07-25  PRCHA1 PRCHAL PRCHA1 PRCHA1 PRCHA1 PRCHA1 AXISBA  78088.00  -00  moO? 00  00 00 9624800 (27444 .00  31708.00 41921.00 DAUGS A - OO 78086 .00 4336.00 MALATE) — OW 33692 .00  a Sfx  ee) 1  11-07-25 8 1g=<07-25 PRCHA1 1 ao PRCHA1 0 23S-25@1369 PRCHAL 07-08-25 PRCHA1 28=08-—25 PRCHA1 08-09-25 ameo” PRCHAL  Vee NO0>25 PRCHA1 | 08-10-25 @m53""  PRCHA1 | PaO AS) 2 AXISBA i} 01-11-2 PRCHA1  0411-25 qe PRCHA1 AQ-1i—Z2s) PRCHA1 LASTISZS PRCHA1 25-11-2 PRCHA1 25-11-2 PRCHAL 12-12-2 PRCHA1 are — 23-12-2 07-01-2  40412.00 42696.00 DEZei _ Ol 74506.00  6726.00 w2a78"" 00 5385-00 mie225.-.00 25002700 99508.00 C (3970200 138610.00 30695.00 169305.00 41739000 210695.00 230773.00 131279.00 137685.00 145237.00 178926.00 186154.00  99494.00  ZAMS SrA O10 261411.00 Z2UVNGZ33 Ol 284620.00 306435.00 318247.00 CR PB  Bs6243..00[cR PB  PRCHA1L PRCHA1 PRCHA1 PRCHA1  25634930 5113825 .00"
IMG_20260516_160010.jpg,S.T. LOKHANDWALA,Yogesh Natwarlal Shah (HUF),,,,397763.0,"S.T. LOKHANDWALA 771/72, TOWER ROAD SURAT - 395003 MSME : UDYAM-GJ-22-0140455 Ph 9428456552 / 9879577652 / 9924452786, Gujarat - 395003 Contact :0261-2434942 E-Mail :stlokhandwala@yahoo.co.in Yogesh Natwarlal Shah (HUF) Ledger Account  29-30, Samaysaar Bunglow, Nr. Nandini 3, VIP Road, Surat-395007,  01 Apr 25 To 31 Mar 26  Page 1 [Date | Particulars Vch Type|Vch Ref.| Vch No. Debit Credit  Balance a4, \ 05 Apr 25|Cr Sales GST Sales GS STU25-26/0104 149,170.00 49,170.00 Dr  pa)  NN SS sc om mo  20 May 25CrSalesGST |) [Sales GST] sTU25-261057) 41,930.00 53,851.00 Dr 04 Jun 25 STUDS. 260744 | 24,237.00 78,088.00 Dr| [TiJa25|Or BANKOFINGIA (| Reson [+585 |__| 7009800 32.00.0004 fiavazslor SaesesT Sees csr] «atl (@RO| =| oara.00 or  fievuas|er Saesest [Sees cst] iad gaarica| | _#2.07.00 br oeauges|r SaescsT—(saescst] _(swsaay Asisrooo| ‘| 59,267.00 be  vAugzafor Seesest (Ses cst] _—‘(sveraned aezpeoo| |_74.482.00 psauy2e|or SaescsT sass Gsif___‘useree am00900| | 99.44.0001 sSep2efor SaesGoT [Ses st] usar BOEEECO| | 169.291.0001  oe oazslor saesosT «Sees St] _—_—iuscmtfanove0] | 230,788.00  01 Nov 2o\Ciiecles Gomi MMM. l[Saesasti\ |) s715-262334 §16)406.00[ | 4,37\671.00 Dr  10 Nov 25 STUDS 26 74 @aiege00)) 1,78,912.00 Dr  25 Nov 25|Cr Sales GST STU25-26263% 18,885.00 AAR Sia 2,05,025.00 Dr Bi Cr Sales GST STL25-261263'| 45/456.00 iia 2,20,181.00 Dr  Carried Over 3,97,763.00 |1,77,582.00  continued..."
IMG_20260516_160021.jpg,RNS RE AN,,,,,397763.0,"Pose | Parcs ‘(ver Type| Ven Ref verNo.[ | Debt] Grea] atone  Brought Forward 3,97,763.00 |1,77,582.00 RNS RE AN) Sales GS sruns26cead 44216.00| | 2,61,397.00 Dr  or Sasser sae  lor Seles GST [Sales Geter eee.00| «| 2,70.221.00 Dr er Sees GsT [Sales est|_(swasarf eaas.co| | 2,04 606.00 or orSaesGsT |saesest|  [rusaranl Mgeta0o) | 2.10,200.00 or  mM isaeervoo 77 se2c0  nga i a a EE]  23 Dec 25 07 Jan 26 09 Jan 26 16 Jan 26  — (o6) O 0) ra) N a"
IMG_20260516_160145.jpg,ST TAX INVOICE,Yogesh Natwarlal Shah (HUF),24ABIFS7716A1ZD,Dated,25-26/0104,16245.4,"ST TAX INVOICE (ORIGINAL FOR RECIPIENT) * LOKHAND | Invoice No Dated 7 WALA , L ate 71/72, TOWER ROAD STL/25-26/0104 5-Apr-25 Te 395003 Delivery Note  SME : UDYAM-GJ=22-0140455 Ph 9428456552 / 9879577652 / 9924452786 GSTIN/UIN: 24ABIFS7716A1ZD  5138,5189 5278  Mode/Terms of Payment  Reference No. & Date.  Other References  State Name: Gujarat, Code : 24 Contact : 0261-2434942  Buyer’s Order No.  Dated  E-Mail : stlokhandwala@yahoo.co.in  Consignee (Ship ta) Yogesh Natwarlal Shah (HUF)  Dispatch Doc No.  5-Apr-25  Delivery Note Date  Dispatched through  Destination  Re Samaysaar Bunglow,  vr. Nandini 3, VIP Road, Surat-395007,  GSTIN/UIN : 24AAAHY7933G1ZY State Name : Gujarat, Code : 24 Buyer (Bill to) Sea  \ Yogesh Natwarlal Shah (HUF) 29-30, Samaysaar Bunglow, Nr. Nandini 3, VIP Road,  Surat-395007, GSTIN/UIN State Name Place of Supply  > 24AAAHY 7933G1ZY : Gujarat, Code : 24 : Gujarat  Description of Goods  3/HS S Bit 4mm 4/H S S Bit 6mm 5IH S S Bit 3mm  6|/Hack Saw Blade 6” 7\Granite Bit 5mm 8/Granite Bit 6mm g/Granite Bit 8mm 10/Granite Bit 10mm of anite Bit 12mm 12/Braded Hose 3/4”  1143/5 S Nut 3mm  14/S S M Screw 3x30 15|Fevicol Marine 5kg  16|Fevicol Kg  17|Castor Wheel 2"" SET  18|Chicken Mesh “= 9/19 |Velcro Paper 6” 20|S S Bolt 8x50 21|Fevi Quick 22|Fevi Quick Gel  23|Abro Tape Bundle  |24\Glass Bit 6mm 25|Glass Bit 8mm 26|Glass Bit 10mm 27|Glass Bit 5mm  1/HS S Bit 1.5mm 2\IH S S Bit 2.5mm  ‘Terms of Delivery  ‘Quantity  Amount  82075000 18 % 82075000 18% 8207 18 % 8207 18% 82075000 18% 8205 18 % 82075000 18 % 82075000 18 % 82075000 18 % 82075000 18%  182075000 18% 3917 18% 73181500 18 % 73181500 18% 3506 18% 3506 18% 83022000 18% 7314 18 % 68051010 18% 73181500 18% 3506 18% 3506 18%  4823 18%  82075000 18%  82075000 18 %  82075000 18 %  82075000 18%  SGST CGST  SUBJECT TO SURAT JURISDICTION  This is a Computer Generated Invoice  5 NOS 5 NOS 5 NOS  5 NOS  5 NOS 20 NOS 2 NOS  2 NOS  2 NOS  2 NOS  2 NOS 30.00 Mtr 24NOS 24 NOS 1 NOS  5 tin  1 set  1 NOS 103 NOS 35 NOS 20 NOS 20 NOS 3 NOS 2 NOS 2 NOS 2 NOS 2 NOS  110.00 |NOS,  180.00 NOS 210.00 NOS 240.00 |NOS 280.00 |NOS 320.00 |NOS  28.00 |NOS 35.00 INOS 45.00 NOS  35.00 INOS 5.00 INOS  34.00 | Mtr 0.60 NOS 5.00 |NOS  1,550.00 ||NOS  380.00 | _ tin 400.00 | set 480.00 INOS 22.00 NOS 14.00 INOS 75.00 NOS 85.00 NOS 180.00 NOS 45.00 INOS 60.00 INOS 75.00 INOS 40.00 INOS  Al  140.00 175.00 225.00 550.00 175.00 100.00 360.00 420.00 480.00 560.00 640.00 1,020.00 14.40 120.00 1,550.00 1,900.00 400.00 480.00 2,266.00 490.00 1,500.00 1,700.00 540.00 90.00 120.00 150.00 80.00  ti  16,245.40  1,462.09 1,462.09  continued to page number 2"
IMG_20260516_160208.jpg,TAX INVOICE,s Order No.,,,,2924.18,"TAX INVOICE(Page 2) (ORIGINAL FOR RECIPIENT) Fi Dated S.T.Lo LA Invoice No. ley S ee row — asda erms of Payment 72 TAN SURAG ~ 395003 Delivery Note SME :u -GJ-22-0140455 189 ,5278  Ph 9428456552 / oa7Sa7 7662 19924452786 5138,5189,5: Ose eerrese GSTIN/UIN: 24ABIFS7716GA1ZD Reference No. & Date.  State Name : Gujarat, Code : 24 Contact : 0261-2434942  E-Mail : stlokhandwala@yahoo.co.in Buyers Order No. Dated Consignee (Ship to) Dispatch Doc No. Delivery Note Date Yogesh Natwarlal Shah (HUF) scApr-25 29-30, Samaysaar Bunglow, Dispatched through Destination Nr. Nandini 3, VIP Road, Surat-395007, Y ; GSTIN/UIN : 24AAAHY 7933612 ‘Terms of Delivery State Name : Gujarat, Code : 24  Buyer (Bill to)  Yogesh Natwarlal Shah (HUF) 29-30, Samaysaar Bunglow,  Nr. Nandini 3, VIP Road,  Surat-395007, GSTIN/UIN : 2ZA4AAAHY 7933G1ZY  State Name s Gujarat, Code : 24 Place of Supply: Gujarat  Description of Goods HSN/SAC GST Quantity a ic Rate  ; ROUNDING OFF (S) 0.42  Amount  | Total | | | | | | ).00  | Saar Chargeable (in words) EVs OE |INR Nineteen Thousand One Hundred Seventy Only  Taxable [| cast [| sesmutest |) tom Value |"" Ratei| amount | Rate | Amount | Tax amount Total: fe 2aSe4 GIN \ [It 40a. oa ANG | 1,462.09 2,924.18  Tax Amount (in words): INR Two Thousand Nine Hundred Twenty Four and Eighteen paise Only | Company's Bank Details |  Declaration _ Bank Name : BANK OF INDIA 1(1) Any query will not be except after 15th days. ‘Ale-No. + 270120110000049  (2) Interest @ 21% will be charged on over due bill. Branch & IFS Code: Clock Tower & BKID0002701  for 6.7. LOKHANDWALA pect ac “ag  Authorised Signatory 2:  SUBJECT TO SURAT JURISDICTION  This is a Computer Generated Invoice"
IMG_20260516_160221.jpg,S.T. LOKHANDWALA,Yogesh Natwarlal Shah (HUF),24ABIFS7716A1ZD,,,10625.0,"as TAX INVOICE _ (ORIGINAL FOR RECIPIENT) S.T. Lo RN |  KHAND jee Have meinio: eee Dated A 77172, ;Hgenee STL/25-2610105 > 5-Apr-25 tr SURAT - 395003 Delivery Note ~ Mode/Terms of Payment MSME : EGuylaor 55 Leh SER | Ph A2868550/ SEAT? 124452706 Reference No. & Date. eeiiererences GSTIN/UIN: 24ABIFS7716A1ZD : a A | State Name : Gujarat, Code : 24 ; Buyer's Order No. etleta| Contact : 0261-2434942 ee ee + eee a he } i | Note Dat ae E-Mail : stlokhandwala@yahoo.co.in ales mer aia Rapes. oi Consignee (Ship to) Dispatched through Destination Yogesh NatwarlalShah (HUF) = |. ale AiO hE EE | 29-30, Samaysaar Bunglow, ; Terms of Delivery |Nr. Nandini 3, VIP Road, | | Surat-395007, | |GSTIN/UIN : 24AAAHY7933G1ZY | | State Name : Gujarat, Code : 24 AAS a ENO) 'Buyer (Bill to) | Yogesh Natwarlal Shah (HUF) /29-30, Samaysaar Bunglow, |Nr. Nandini 3, VIP Road, | Surat-395007, |GSTIN/UIN : 24AAAHY7933G1ZY State Name : Gujarat, Code : 24 ' ‘Place of Supply: Gujarat ¢, | Description of Goods HSN/SACG cst | Quantity Rate | per Amount /No, | | Rate | et | Wi 3 { i ! ! | | _1/Screw Driver 2 in 1 |8207 | 18% +  2NOS! 130.00 'Nos| 260.00 | | 2/Screw Driver 2 in 1 Big 82054000 18%) 2NOS 155.00 |NOS | 310.00 | 3 he 1/2"" 82075000 18%) #2NOS 80.00 NOS 160.00 | | 4/Fevi Quick Gel 3506 | 18%) 30NOS_ 85.00 NOS 2,550.00 5|Fevi Quick '3506 | 18%!) 30NOS| 75.00 INOS 2,250.00 6 Araldite 450grm [3506 | 18% 3 NOS 550.00 INOS 1,650.00 _7 Triangle File 6"" 82075000 «18% 5 NOS 110.00 INOS 550.00 | 8 Flat File 6"" 82075000 = «18% 1 NOS | 85.00 |NOS | 85.00 | | 9 Tape 3 Mts 9017 | 18%! 10NOS | 65.00 INOS 650.00 | 10 Abro Tape Bundle 4823 18%| 5NOS 180.00 |NOS | 900.00 | 11 Emery Lolipop Set 182075000 18 % 1 NOS | 850.00 |NOS 850.00 | 12|Hack Saw Blade 6” 8205 18%; 10NOS | 5.00 INOS 50.00 | /13/Randha Pana 82075000 18 % 2NOS 180.00 |NOS | 360.00 | | | | | 10,625.00 | SGST | | | 956.25 | CGST | | | 956.25 | | ROUNDING OFF (S) | 0.50 | @ | | | | | | | { | | } | | | | | | | | ie Total ""103 Nos _— | 42538100 7 Midas Ci pine aR | SE LZ | !  (Ameunt Chargeable (in words) E&OE |  uaF Twelve Thousand Five Hundred Thirty Eight Only | Taxable | CSSm I NSGSHMTEST | Total | Value Rate | Amount Rate | Amount _ Tax Amount _ 10,625.00! 9%. 956.25) 9%) 956.25) 1,912.50 Total: 10,625.00, A 956.25 956.25 | 1,912.50 |  | Tax Amount (in words): INR One Thousand Nine Hundred Twelve and Fifty paise Only  | Company's Bank Details | Declaration  EAS EMO US Bank Name : BANK OF INDIA |(1) Any query will not be except after 15th days. A/c No. : 270120110000049 (2) Interest @ 21% will be charged on over due bill. Branch & IFS Code: Clock Tower & BKID0002701  |Customer’s Seal and Signature | for S.T. LOKHANDWALA  | | | |  SUBJECT TO SURAT JURISDICTION  This is a Computer Generated Invoice"
